DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,090121,1,QUANTITY_IN_100KG,2023,9.94,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,09019010,1,QUANTITY_IN_100KG,2013,0.70,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,09019010,1,QUANTITY_IN_100KG,2023,4.61,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,09019090,1,QUANTITY_IN_100KG,2023,0.87,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,TOTAL,1,QUANTITY_IN_100KG,2013,4383424.28,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,TOTAL,1,QUANTITY_IN_100KG,2023,3834765.05,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BQ,TOTAL,1,QUANTITY_IN_100KG,2013,598741.12,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BQ,TOTAL,1,QUANTITY_IN_100KG,2023,1260536.09,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090111,1,QUANTITY_IN_100KG,2013,7739360.94,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090111,1,QUANTITY_IN_100KG,2023,9231330.48,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090112,1,QUANTITY_IN_100KG,2013,890.40,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090112,1,QUANTITY_IN_100KG,2023,765.65,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090121,1,QUANTITY_IN_100KG,2013,2157.77,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090121,1,QUANTITY_IN_100KG,2023,1301.11,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090122,1,QUANTITY_IN_100KG,2013,6.67,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,090122,1,QUANTITY_IN_100KG,2023,66.34,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,09019010,1,QUANTITY_IN_100KG,2013,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,09019010,1,QUANTITY_IN_100KG,2023,0.08,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,09019090,1,QUANTITY_IN_100KG,2013,2.66,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,09019090,1,QUANTITY_IN_100KG,2023,1.75,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,TOTAL,1,QUANTITY_IN_100KG,2013,866965504.93,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BR,TOTAL,1,QUANTITY_IN_100KG,2023,724916480.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BS,090111,1,QUANTITY_IN_100KG,2013,1080.00,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BS,TOTAL,1,QUANTITY_IN_100KG,2013,83267.14,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BS,TOTAL,1,QUANTITY_IN_100KG,2023,78870.45,
